name,birth_year,death_year,gender,nationality,placeofbirth,placeofdeath
Il'ya Mashkov,1881,1944,M,RU,Mikhailovskaya-on-Don,Moscow
Henri Matisse,1869,1954,M,FR,Le Cateau-Cambrésis,Nice
Aleksandr Matveyev,1878,1960,M,RU,Saratov,Moscow
Mikhail Matyushin,1861,1934,M,RU,Nizhniy Novgorod,Leningradskaya Oblast'
Alfred Henry Maurer,1868,1932,M,US,New York,New York
Ludwig Meidner,1884,1966,M,DE,Bernstadt,Darmstadt
Xavier Mellery,1845,1921,M,BE,Laken,Brussels
Moritz Melzer,1877,1966,M,DE,Bohemia,Berlin
Jean Metzinger,1883,1956,M,FR,Nantes,Paris
Constantin Meunier,1831,1905,M,BE,Etterbeek,Ixelles
Nikolay Milioti,1874,1962,M,RU,Moscow,Paris
Vasily Milioti,1875,1943,M,RU,Moscow,Moscow
Kenneth Hayes Miller,1876,1952,M,US,Oneida,New York
George Minne,1866,1941,M,BE,Ghent,Sint-Martens-Latem
Piotr Miturich,1887,1956,M,RU,Saint Petersburg,Moscow
Paula Modersohn-Becker,1876,1907,F,DE,Dresden,Worpswede
Aleksandr Pavlovič Mogilevskij,1885,1980,M,RU,Mariupol',Moscow
Louis René Moilliet,1880,1962,M,CH,Bern,Vevey
Oskar Moll,1875,1947,M,DE,Brzeg,Berlin
Claude Monet,1840,1926,M,FR,Paris,Giverny
Giorgio Morandi,1890,1964,M,IT,Bologna,Bologna
Wilhelm Morgner,1891,1917,M,DE,Soest,Langemark
Alexsey Morgunov,1884,1935,M,RU,Moscow,Moscow
Koloman Moser,1868,1918,M,AT,Vienna,Vienna
Otto Mueller,1874,1930,M,DE,Lubawka,Oborniki Śląskie
Edvard Munch,1863,1944,M,NO,Løten,Christiania (Oslo)
Gabriele Münter,1877,1962,F,DE,Berlin,Murnau
Elie Nadelman,1882,1946,M,PL,Warsaw,New York
John Northcote Nash,1893,1977,M,GB,London,Colchester
Paul Nash,1889,1946,M,GB,London,Dorset
Heinrich Nauen,1880,1941,M,DE,Krefeld,Kalkar
Christopher Nevinson,1889,1946,M,GB,London,London
Jean Niestlé,1884,1942,M,CH,Neuchatel,Antony
Emil Nolde,1867,1956,M,DE,Burkal,Seebüll
Isidre Nonell,1873,1911,M,ES,Barcelona,Barcelona
Willi Nowak,1886,1977,M,CZ,Mníšek pod Brdy,Prague
Walter Ophey,1882,1930,M,DE,Eupen,Dusseldorf
Dezső Orbán,1884,1986,M,HU,Győr,Sydney
Anna Petrovna Ostroumova-Lebedeva,1871,1955,F,RU,Saint Petersburg,Saint Petersburg
Bernhard Pankok,1872,1943,M,DE,Münster,Baierbrunn
Jules Pascin,1885,1930,M,BG,Vidin,Paris
Max Pechstein,1881,1955,M,DE,Zwickau,Berlin
Giuseppe Pellizza da Volpedo,1868,1907,M,IT,Volpedo,Volpedo
Constant Permeke,1886,1952,M,BE,Antwerp,Ostend
Kuz'ma Petrov-Vodkin,1878,1939,M,RU,Khvalynsk,Saint Petersburg
Albert Pfister,1884,1978,M,CH,Stäfa,Erlenbach
Francis Picabia,1879,1953,M,FR,Paris,Paris
Pablo Picasso,1881,1973,M,ES,Málaga,Mougins
Niko Pirosmanishvili,1862,1918,M,GE,Mirzaani,Tbilisi
Jan Preisler,1872,1918,M,CZ,Dvůr Králové,Prague
Maurice Brazil Prendergast,1858,1924,M,US,Saint John's,New York
Gaetano Previati,1852,1920,M,IT,Ferrara,Lavagna
Antonín Procházka,1882,1945,M,CZ,Vážany,Brno
Hans Purrmann,1880,1966,M,DE,Speyer,Basel
Leo Putz,1869,1940,M,IT,Merano,Merano
Jean Puy,1876,1960,M,FR,Roanne,Roanne
Isaak Moiseevich Rabinovich,1894,1961,M,RU,Kiev,Moscow
Paul Elie Ranson,1861,1909,M,FR,Limoges,Paris
William Ratcliffe,1870,1955,M,GB,Clenchwarton,London
Odilon Redon,1840,1916,M,FR,Bordeaux,Paris
Pierre-Auguste Renoir,1841,1919,M,FR,Limoges,Cagnes-sur-Mer
Alfred Reth,1884,1966,M,FR,Budapest,Paris
József Rippl-Rónai,1861,1927,M,HU,Kaposvár,Kaposvár
Diego Rivera,1886,1957,M,MX,Guanajuato,Mexico City
William Roberts,1895,1980,M,GB,London,London
Auguste Rodin,1840,1917,M,FR,Paris,Meudon
Christian Rohlfs,1849,1938,M,DE,Neindorf,Hagen
Romolo Romani,1884,1916,M,IT,Milan,Brescia
Medardo Rosso,1858,1928,M,IT,Turin,Milan
Georges Rouault,1871,1958,M,FR,Paris,Paris
Henri Rousseau,1844,1910,M,FR,Laval,Paris
